2024-2025学年第二学期全校总课表（部分）,,,,,,,,,,,,,,,
开课学院,课程名称,课程性质,教学班名称,课程号,学分,任课教师,课堂容量,已选人数,上课时间,教学地点,合班信息,起始结束周,课程归属,总学时,课程类别
财税学院,公共经济与公共管理改革实践研讨班（2）,专业选修课,(2024-2025-2)-84007-02,84007,2.0,刘央央,33,0,星期一第4-5节{1-16周},J6-403,无,1-16周,无,32,专业课
财税学院,社区管理与劳动实践,通识选修课,(2024-2025-2)-84511-01,84511,1.0,刘央央,30,0,星期三第9-10节{7-8周},J6-204,无,7-8周,经管社科基础素养（创新创业）,4,通识课
财税学院,社区管理与劳动实践,通识选修课,(2024-2025-2)-84511-01A,84511,1.0,刘央央,30,0,星期三第9-10节{1-6周},J6-204,无,1-6周,经管社科基础素养（创新创业）,12,通识课
财税学院,税收导论,学科选修课,(2024-2025-2)-83162-01,83162,2.0,刘颖,85,0,星期一第1-2节{1-16周},J6-101,24税收1;24税收2,1-16周,无,32,专业课
财税学院,中国税制,必修课,(2024-2025-2)-83444-01,83444,3.0,刘颖,46,0,星期一第11-12节{1-16周},J4-204,23财政1,1-16周,无,32,专业课
财税学院,中国税制,必修课,(2024-2025-2)-83444-01A,83444,3.0,刘颖,45,0,星期一第13-13节{1-16周},J4-204,23财政1,1-16周,无,16,专业课
财税学院,公共经济与公共管理改革实践研讨班（2）,专业选修课,(2024-2025-2)-84007-01,84007,2.0,刘颖,33,0,星期一第4-5节{1-16周},J6-402,无,1-16周,无,32,专业课
财税学院,税收与社会,通识选修课,(2024-2025-2)-83046-01,83046,2.0,"刘颖,朱计",30,0,星期三第6-7节{1-16周},J6-101,无,1-16周,经管社科基础素养（创新创业）,32,通识课
财税学院,中国税制,学科选修课,(2024-2025-2)-83436-01,83436,2.0,孙文佳,46,0,星期二第4-5节{1-16周},J6-101,22保险1,1-16周,无,32,专业课
财税学院,中国税制,必修课,(2024-2025-2)-83444-03,83444,3.0,孙文佳,46,0,星期二第1-2节{1-16周},J6-101,23财政3,1-16周,无,32,专业课
财税学院,中国税制,必修课,(2024-2025-2)-83444-03A,83444,3.0,孙文佳,45,0,星期二第3-3节{1-16周},J6-101,23财政3,1-16周,无,16,专业课
财税学院,税务会计与筹划,必修课,(2024-2025-2)-83563-03,83563,4.0,孙文佳,48,0,星期一第4-5节{1-16周};星期五第1-2节{1-16周},J6-101;J6-101,24税收C1,1-16周,无,64,专业课
财税学院,税务管理,必修课,(2024-2025-2)-83976-02,83976,2.0,孙文佳,48,0,星期三第4-5节{1-16周},J6-204,24税收C1,1-16周,无,32,专业课
财税学院,电子报税,专业选修课,(2024-2025-2)-83826-01,83826,2.0,"孙文佳,朱计",205,0,星期五第4-5节{1-16周},S2-205,22财务1;22财务2;22会计1;22会计2,1-16周,无,32,专业课
财税学院,社会调查研究与方法,学科选修课,(2024-2025-2)-80701-04,80701,2.0,王超,86,0,星期一第1-1节{1-16周},J6-103,24财政2;24财政3,1-16周,无,16,专业课
财税学院,社会调查研究与方法,学科选修课,(2024-2025-2)-80701-04A,80701,2.0,王超,85,0,星期一第2-2节{1-16周},J6-103,24财政2;24财政3,1-16周,无,16,专业课
财税学院,公共经济与公共管理改革实践研讨班（2）,专业选修课,(2024-2025-2)-84007-09,84007,2.0,王超,32,0,星期一第4-5节{1-16周},J6-103,无,1-16周,无,32,专业课
财税学院,企业劳动关系管理,专业选修课,(2024-2025-2)-80460-01,80460,2.0,夏磊,36,0,星期一第9-10节{1-16周},S1-305,22人力1,1-16周,无,32,专业课
财税学院,社会学,学科选修课,(2024-2025-2)-83161-01,83161,2.0,夏磊,171,0,星期一第4-5节{1-16周},J6-105,23财政1;23财政2;23财政3;23社保1,1-16周,无,32,专业课
财税学院,劳动社会学,专业选修课,(2024-2025-2)-83790-01,83790,2.0,夏磊,41,0,星期二第4-5节{1-14周},J6-102,22社保1,1-14周,无,32,专业课
财税学院,劳动社会学,专业选修课,(2024-2025-2)-83790-01A,83790,2.0,夏磊,40,0,星期二第4-5节{15-16周},J6-102,22社保1,15-16周,无,-16,专业课
财税学院,劳动关系管理,专业选修课,(2024-2025-2)-83793-01,83793,2.0,夏磊,41,0,星期一第6-7节{1-12周},S1-305,22社保1,1-12周,无,24,专业课
财税学院,劳动关系管理,专业选修课,(2024-2025-2)-83793-01A,83793,2.0,夏磊,40,0,星期一第6-7节{13-16周},S1-305,22社保1,13-16周,无,8,专业课
财税学院,专业综合实训,实践选修课,(2024-2025-2)-84195-03,84195,4.0,夏磊,41,0,,,22社保1,1-16周,无,128,实践课
财税学院,公共经济与公共管理改革实践研讨班（2）,专业选修课,(2024-2025-2)-84007-03,84007,2.0,姚莉,33,0,星期一第4-5节{1-16周},J6-401,无,1-16周,无,32,专业课
财税学院,身边的政府,通识选修课,(2024-2025-2)-84342-01,84342,2.0,姚莉,100,0,星期三第9-10节{1-16周},J6-101,无,1-16周,经管社科基础素养（创新创业）,32,通识课
财税学院,电子政务,通识选修课,(2024-2025-2)-84343-01,84343,2.0,姚莉,100,0,星期三第11-12节{13-16周},S2-307,无,13-16周,经管社科基础素养（创新创业）,8,通识课
财税学院,电子政务,通识选修课,(2024-2025-2)-84343-01A,84343,2.0,姚莉,100,0,星期三第11-12节{1-12周},S2-307,无,1-12周,经管社科基础素养（创新创业）,24,通识课
财税学院,公共部门人力资源开发与管理,必修课,(2024-2025-2)-84417-01,84417,3.0,姚莉,37,0,星期一第11-13节{1-16周},J6-401,23社保1,1-16周,无,48,专业课
财税学院,税收导论,学科选修课,(2024-2025-2)-83162-02,83162,2.0,郁晓,79,0,星期二第4-5节{1-16周},J6-208,23社保1;24税收3,1-16周,无,32,专业课
财税学院,财税专业英语,专业选修课,(2024-2025-2)-83330-01,83330,2.0,郁晓,131,0,星期一第1-2节{1-16周},J6-205,23税收1;23税收2;23税收3,1-16周,无,32,专业课
财税学院,国际税收协定与合作,专业选修课,(2024-2025-2)-83783-01,83783,2.0,郁晓,123,0,星期二第1-1节{1-16周},J6-205,22税收1;22税收2;22税收3,1-16周,无,16,专业课
财税学院,国际税收协定与合作,专业选修课,(2024-2025-2)-83783-01A,83783,2.0,郁晓,122,0,星期二第2-2节{1-16周},J6-205,22税收1;22税收2;22税收3,1-16周,无,16,专业课
财税学院,公共经济与公共管理改革实践研讨班（2）,专业选修课,(2024-2025-2)-84007-06,84007,2.0,郁晓,33,0,星期一第4-5节{1-16周},J6-208,无,1-16周,无,32,专业课
财税学院,公债经济学,专业选修课,(2024-2025-2)-83354-01,83354,2.0,张雪平,135,0,星期一第10-10节{1-16周},J6-105,23财政1;23财政2;23财政3,1-16周,无,16,专业课
财税学院,公债经济学,专业选修课,(2024-2025-2)-83354-01A,83354,2.0,张雪平,134,0,星期一第9-9节{1-16周},J6-105,23财政1;23财政2;23财政3,1-16周,无,16,专业课
财税学院,中国财税史,专业选修课,(2024-2025-2)-83430-02,83430,2.0,张雪平,46,0,星期一第6-7节{1-16周},J6-101,23财政3,1-16周,无,32,专业课
财税学院,公共经济与公共管理改革实践研讨班（2）,专业选修课,(2024-2025-2)-84007-04,84007,2.0,张雪平,33,0,星期一第4-5节{1-16周},J6-404,无,1-16周,无,32,专业课
财税学院,公共支出学,必修课,(2024-2025-2)-80305-02,80305,3.0,郑彬博,90,0,星期四第6-7节{1-16周},J6-208,23财政2;23财政3,1-16周,无,32,专业课
财税学院,公共支出学,必修课,(2024-2025-2)-80305-02A,80305,3.0,郑彬博,89,0,星期四第8-8节{1-16周},J6-208,23财政2;23财政3,1-16周,无,16,专业课
财税学院,管理定量分析,专业选修课,(2024-2025-2)-83777-01,83777,2.0,郑彬博,173,0,星期五第1-2节{1-16周},J6-205,22财政1;22财政2;22财政3;22社保1,1-16周,无,32,专业课
财税学院,管理定量分析,专业选修课,(2024-2025-2)-83777-02,83777,2.0,郑彬博,170,0,星期五第6-7节{1-16周},J6-205,22税收1;22税收2;22税收3;24税收C1,1-16周,无,32,专业课
财税学院,公共经济与公共管理改革实践研讨班（2）,专业选修课,(2024-2025-2)-84007-08,84007,2.0,郑彬博,32,0,星期一第4-5节{1-16周},J6-108,无,1-16周,无,32,专业课
财税学院,公共事业管理概论,专业选修课,(2024-2025-2)-84089-01,84089,3.0,郑彬博,135,0,星期四第1-2节{1-16周},J6-205,23财政1;23财政2;23财政3,1-16周,无,32,专业课
财税学院,公共事业管理概论,专业选修课,(2024-2025-2)-84089-01A,84089,3.0,郑彬博,134,0,星期四第3-3节{1-16周},J6-205,23财政1;23财政2;23财政3,1-16周,无,16,专业课
财税学院,税务管理实训,专业选修课,(2024-2025-2)-83788-01,83788,3.0,朱计,123,0,星期一第6-8节{1-16周},,22税收1;22税收2;22税收3,1-16周,无,48,专业课
财税学院,税务管理,必修课,(2024-2025-2)-83976-01,83976,2.0,朱计,131,0,星期二第4-5节{1-12周},J6-105,23税收1;23税收2;23税收3,1-12周,无,24,专业课
财税学院,税务管理,必修课,(2024-2025-2)-83976-01A,83976,2.0,朱计,130,0,星期二第4-5节{13-16周},J6-105,23税收1;23税收2;23税收3,13-16周,无,8,专业课
财税学院,专业综合实训,实践选修课,(2024-2025-2)-84195-02,84195,4.0,朱计,123,0,,,22税收1;22税收2;22税收3,1-16周,无,64,实践课
财税学院,专业综合实训,必修课,(2024-2025-2)-84261-01,84261,5.0,朱计,48,0,,,24税收C1,1-16周,无,160,实践课
财税学院,智能纳税申报,必修课,(2024-2025-2)-84704-01,84704,3.0,朱计,48,0,星期一第11-13节{1-16周},S1-305,24税收C1,1-16周,无,48,专业课
财税学院,纳税评估实务,必修课,(2024-2025-2)-84705-01,84705,2.0,朱计,48,0,星期二第1-2节{1-16周},S1-305,24税收C1,1-16周,无,32,专业课
财税学院,电子报税,专业选修课,(2024-2025-2)-83780-01,83780,3.0,"朱计,孙文佳",123,0,星期一第1-3节{1-16周},,22税收1;22税收2;22税收3,1-16周,无,48,专业课
创业学院,企业经营模拟体验,必修课,(2024-2025-2)-84024-13,84024,0.5,陈松,36,0,星期日第1-12节{1-2周},S1-403,无,1-2周,无,24,实践课
创业学院,企业经营模拟体验,必修课,(2024-2025-2)-84024-28,84024,0.5,陈松,36,0,星期日第1-12节{8-9周},S1-403,无,8-9周,无,24,实践课
创业学院,职业规划与创业就业指导,通识选修课,(2024-2025-2)-83141-01,83141,1.0,戴钰慧,77,0,星期一第4-5节{1-15周(单)},J3-203,24工程1;24工程2,1-15周(单),无,16,通识课
创业学院,职业规划与创业就业指导,通识选修课,(2024-2025-2)-83141-02,83141,1.0,戴钰慧,50,0,星期一第4-5节{2-16周(双)},J3-203,24物流1,2-16周(双),无,16,通识课
创业学院,企业管理仿真实训,必修课,(2024-2025-2)-83145-03,83145,2.0,董芷含,216,0,,,22资评1;24会计C1;24金融C1;24金融C2;24经济C1,1-16周,无,32,实践课
创业学院,企业经营模拟体验,无,(2024-2025-2)-84024-34,84024,0.5,董芷含,36,0,星期六第1-12节{12-13周},S1-404,无,12-13周,无,24,无
创业学院,创业案列解码,通识选修课,(2024-2025-2)-84434-01,84434,2.0,董芷含,36,0,星期三第11-12节{1-12周},S1-407,无,1-12周,经管社科基础素养（创新创业）,24,通识课
创业学院,创业案列解码,通识选修课,(2024-2025-2)-84434-01A,84434,2.0,董芷含,36,0,星期三第11-12节{13-16周},S1-407,无,13-16周,经管社科基础素养（创新创业）,8,通识课
创业学院,玩转面试,通识选修课,(2024-2025-2)-84505-01,84505,2.0,董芷含,45,0,星期三第9-10节{1-12周},S1-407,无,1-12周,经管社科基础素养（创新创业）,24,通识课
创业学院,玩转面试,通识选修课,(2024-2025-2)-84505-01A,84505,2.0,董芷含,45,0,星期三第9-10节{13-16周},S1-407,无,13-16周,经管社科基础素养（创新创业）,8,通识课
创业学院,职业规划与创业就业指导,通识选修课,(2024-2025-2)-83141-03,83141,1.0,方志勇,97,0,星期一第6-7节{2-16周(双)},J5-205,24保险1;24经济1,2-16周(双),无,16,通识课
创业学院,职业规划与创业就业指导,通识选修课,(2024-2025-2)-83141-04,83141,1.0,方志勇,72,0,星期一第6-7节{1-15周(单)},J5-205,24金融1;24金融2,1-15周(单),无,16,通识课
创业学院,职业规划与创业就业指导,通识选修课,(2024-2025-2)-83141-12,83141,1.0,蒋超,62,0,星期一第11-12节{2-16周(双)},J7-107,24工设1;24工设2,2-16周(双),无,16,通识课
创业学院,职业规划与创业就业指导,通识选修课,(2024-2025-2)-83141-14,83141,1.0,蒋超,80,0,星期一第9-10节{2-16周(双)},J7-107,24互金1;24计算机3,2-16周(双),无,16,通识课
创业学院,企业经营模拟体验,必修课,(2024-2025-2)-84024-11,84024,0.5,金伟林,36,0,星期六第1-12节{1-2周},S1-406,无,1-2周,无,24,实践课
